id_pod,gasday,fogyasztas_kwh,source,nomvol_kwh
10130101,2026-08-17,704.2656043200001,tavmert,673
10390101,2026-08-17,868.3996,tavmert,352
10400104,2026-08-17,3706.1233,tavmert,3521
10400202,2026-08-17,1.0582,tavmert,2
10410103,2026-08-17,0.0,tavmert,0
10420103,2026-08-17,224.37467032,tavmert,210
10430201,2026-08-17,0.0,tavmert,0
10440101,2026-08-17,0.0,profilos_nominalt,0
10450101,2026-08-17,0.0,tavmert,0
10461502,2026-08-17,0.0,tavmert,0
10470101,2026-08-17,0.0,tavmert,0
10480101,2026-08-17,0.0,tavmert,0
10490102,2026-08-17,0.0,tavmert,0
10500102,2026-08-17,0.0,tavmert,0
10510101,2026-08-17,0.0,tavmert,0
10520101,2026-08-17,1.319088,tavmert,3
10530103,2026-08-17,0.0,tavmert,0
10530201,2026-08-17,1970.5843048,tavmert,2200
10540202,2026-08-17,95.58999999999999,tavmert,45
10590101,2026-08-17,0.0,tavmert,0
10620101,2026-08-17,0.0,tavmert,0
10700103,2026-08-17,0.0,tavmert,0
10730202,2026-08-17,9.5405772,tavmert,9
11100101,2026-08-17,1.10344,tavmert,2
11100201,2026-08-17,0.0,tavmert,0
11330101,2026-08-17,0.0,profilos_nominalt,0
11540101,2026-08-17,2843.25695748,tavmert,2753
11560101,2026-08-17,23.0,profilos_nominalt,23
11580101,2026-08-17,183.04770000000002,tavmert,94
11580201,2026-08-17,0.0,tavmert,0
11590101,2026-08-17,48.474799999999995,tavmert,43
11650101,2026-08-17,0.0,tavmert,0
11650201,2026-08-17,0.0,tavmert,0
11650301,2026-08-17,0.0,tavmert,0
11660101,2026-08-17,0.0,tavmert,0
11690101,2026-08-17,3.08084706,tavmert,4
11790301,2026-08-17,0.0,tavmert,0
11880101,2026-08-17,0.0,tavmert,0
11920101,2026-08-17,0.0,tavmert,0
12090101,2026-08-17,0.0,tavmert,0
12660101,2026-08-17,0.0,tavmert,2000
12660201,2026-08-17,20.65108812,tavmert,40
12700101,2026-08-17,0.0,tavmert,0
12790101,2026-08-17,58.86776,tavmert,65
12960101,2026-08-17,383.08993424,tavmert,330
